Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
173.001,16,173,173,12.2097126932506,696.109375,0.0854679888527543
174.001,18,174,174,15.0056331146712,696.109375,0.105039431802699
175.001,23,175,175,15.5337616879074,696.109375,0.108736331815352
176,22,176,176,15.002596949532,695.721354166667,0.105018178646724
177.001,20,177,177,21.1074970385626,696.109375,0.147752479269938
178.001,25,178,178,17.7654544741909,695.333333333333,0.124358181319336
179.001,20,179,179,18.9890452198127,696.109375,0.132923316538689
180.001,23,180,180,25.0361221169904,696.497395833333,0.175252854818933
181.001,24,181,181,18.0120662832031,696.109375,0.126084463982422
182,18,182,182,18.8737332810642,696.109375,0.132116132967449
183,23,183,183,16.6519981065568,696.109375,0.116563986745898
184.001,23,184,184,17.0315543607642,696.109375,0.119220880525349
185,23,185,185,16.6296509114767,696.109375,0.116407556380337
186.001,22,186,186,16.0248240549435,696.109375,0.112173768384605
187.001,22,187,187,13.3292264505614,696.109375,0.0933045851539298
188.001,26,188,188,8.88325591760869,696.109375,0.0621827914232608
189,22,189,189,16.655562958028,696.109375,0.116588940706196
190.001,12,190,190,13.0202060577811,696.109375,0.0911414424044675
190.999,27,191,191,13.3171692492357,696.109375,0.09322018474465
192,21,192,192,19.9989222802993,696.109375,0.139992455962095
193.001,20,193,193,13.9948526931794,696.109375,0.0979639688522561
194.001,24,194,194,22.2160955167697,696.109375,0.155512668617388
195,16,195,195,10.0049874862619,696.109375,0.0700349124038333
196.001,29,196,196,26.9416390215515,696.109375,0.188591473150861
197.001,22,197,197,15.0255389084827,696.109375,0.105178772359379
198.001,15,198,198,17.9797763475643,696.109375,0.12585843443295
199.001,20,199,199,13.3314328635151,696.109375,0.0933200300446059
200,20,200,200,15.0178442024814,696.109375,0.10512490941737
200.999,18,201,201,16.6396641893904,696.109375,0.116477649325733
202.001,25,202,202,8.01209425627986,696.109375,0.056084659793959
203.001,21,203,203,13.9923517805168,696.109375,0.0979464624636174
204,23,204,204,15.544634586168,696.497395833333,0.108812442103176
205,25,205,205,17.0111933652343,696.497395833333,0.11907835355664
206.001,22,206,206,13.3241219237101,696.109375,0.0932688534659705
207.001,12,207,207,21.0100091683678,696.109375,0.147070064178575
208,26,208,208,11.105130381449,696.109375,0.0777359126701431
208.999,28,209,209,13.0029659765392,696.109375,0.0910207618357747
210,17,210,210,13.0119241272702,696.109375,0.0910834688908916
211,22,211,211,14.4330407385898,696.109375,0.101031285170128
212.001,17,212,212,16.02890974161,696.109375,0.11220236819127
213,10,213,213,11.1013973883963,696.109375,0.0777097817187739
214,25,214,214,17.7744855480657,696.109375,0.12442139883646
215,15,215,215,12.2105272505667,696.109375,0.0854736907539668
216.001,14,216,216,15.9898272718896,696.109375,0.111928790903227
217,23,217,217,12.2170842595642,696.109375,0.0855195898169492
218.001,21,218,218,13.9785136267044,696.109375,0.0978495953869307
219,21,219,219,20.0250373041414,696.109375,0.14017526112899
220.001,20,220,220,15.5444153911919,695.721354166667,0.108810907738343
221.001,14,221,221,9.99222005746326,696.109375,0.0699455404022428
222,11,222,222,15.0177013645985,696.109375,0.105123909552189
223.001,23,223,223,8.8818702376522,696.109375,0.0621730916635654
224,15,224,224,13.0240854412064,696.109375,0.091168598088445
225.001,21,225,225,8.87892673309436,696.109375,0.0621524871316605
226.001,14,226,226,11.9999988000001,696.109375,0.0839999916000008
227,12,227,227,22.99890525211,696.109375,0.16099233676477
228.001,13,228,228,7.77038641354596,696.109375,0.0543927048948217
229.001,14,229,229,12.0343218860189,696.109375,0.0842402532021325
230.001,28,230,230,23.3004615599526,696.109375,0.163103230919668
231,22,231,231,22.0125471518766,696.109375,0.154087830063136
232.001,13,232,232,11.1058617404618,696.109375,0.0777410321832325
233.001,21,233,233,15.5450229389021,696.109375,0.108815160572314
234.001,19,234,234,16.6577862157485,696.109375,0.11660450351024
235.001,13,235,235,15.5377837837478,696.109375,0.108764486486235
236,28,236,236,16.6594475727185,696.109375,0.116616133009029
237.001,23,237,237,4.99725151166858,696.109375,0.0349807605816801
238,22,238,238,10.0214479028016,696.109375,0.070150135319611
239,20,239,239,9.97448084489616,696.109375,0.0698213659142731
239.999,15,240,240,16.0332497533385,696.109375,0.112232748273369
241,17,241,241,16.6543997759872,696.109375,0.116580798431911
242,18,242,242,19.9865570417337,696.109375,0.139905899292136
243.001,20,243,243,16.6485955411287,696.109375,0.116540168787901
244.001,20,244,244,12.0353043618149,696.109375,0.0842471305327046
245.001,17,245,245,17.7562631056481,696.109375,0.124293841739537
246.001,12,246,246,23.3266644991382,696.109375,0.163286651493967
247.001,26,247,247,19.9785829590679,696.109375,0.139850080713475
248,18,248,248,11.0238103279273,696.109375,0.077166672295491
249.001,25,249,249,19.9740226738447,696.109375,0.139818158716913
250.001,24,250,250,13.3299460459325,696.109375,0.0933096223215278
