Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V
582.001,6,582,582,696.109375
583.001,3,583,583,696.109375
584,1,584,584,696.109375
585,5,585,585,696.109375
586.001,2,586,586,696.109375
587.001,1,587,587,696.109375
588,1,588,588,696.109375
589.001,3,589,589,696.109375
590,2,590,590,696.109375
591,4,591,591,696.109375
592.001,9,592,592,696.109375
593,3,593,593,696.109375
594.001,4,594,594,696.109375
595,1,595,595,696.109375
596.001,5,596,596,696.109375
597,1,597,597,696.109375
598.001,4,598,598,695.333333333333
599.001,5,599,599,696.109375
600,1,600,600,696.109375
,7,601,601,
,3,602,602,
,1,603,603,
,5,604,604,
,1,605,605,
,4,606,606,
,1,607,607,
,3,608,608,
,3,609,609,
,4,610,610,
,5,611,611,
,4,612,612,
,3,613,613,
,3,614,614,
,2,615,615,
,4,616,616,
,3,617,617,
,3,618,618,
,2,619,619,
,2,620,620,
,4,621,621,
,5,622,622,
,6,623,623,
,1,624,624,
,1,625,625,
,2,626,626,
,4,627,627,
,3,628,628,
,6,629,629,
,3,630,630,
,6,631,631,
,9,632,632,
,7,633,633,
,3,634,634,
,2,635,635,
,4,636,636,
,3,637,637,
,2,638,638,
,3,639,639,
,3,640,640,
,2,641,641,
,1,642,642,
,5,643,643,
,2,644,644,
,6,645,645,
,1,646,646,
,5,647,647,
,2,648,648,
,6,649,649,
,3,650,650,
,2,651,651,
,3,652,652,
,2,653,653,
,4,654,654,
,7,655,655,
,1,656,656,
,3,657,657,
,2,658,658,
,0,659,659,
,1,660,660,
,4,661,661,
,5,662,662,
,3,663,663,
,2,664,664,
,0,665,665,
,3,666,666,
,1,667,667,
,4,668,668,
,1,669,669,
,6,670,670,
,3,671,671,
,2,672,672,
,1,673,673,
,3,674,674,
,1,675,675,
,3,676,676,
,4,677,677,
,2,678,678,
,2,679,679,
,4,680,680,
,3,681,681,
,3,682,682,
,5,683,683,
,5,684,684,
,5,685,685,
,2,686,686,
,0,687,687,
,3,688,688,
,2,689,689,
,3,690,690,
,1,691,691,
,3,692,692,
,4,693,693,
,1,694,694,
,4,695,695,
,4,696,696,
,2,697,697,
,1,698,698,
,2,699,699,
,3,700,700,
,2,701,701,
,0,702,702,
,4,703,703,
,2,704,704,
,2,705,705,
,1,706,706,
,2,707,707,
,5,708,708,
,2,709,709,
,3,710,710,
,3,711,711,
,5,712,712,
,4,713,713,
,3,714,714,
,2,715,715,
,0,716,716,
,3,717,717,
,4,718,718,
,3,719,719,
,1,720,720,
,6,721,721,
,3,722,722,
,2,723,723,
,0,724,724,
,2,725,725,
,2,726,726,
,1,727,727,
,5,728,728,
,3,729,729,
,2,730,730,
,5,731,731,
,5,732,732,
,2,733,733,
,3,734,734,
,5,735,735,
,2,736,736,
,2,737,737,
,2,738,738,
,2,739,739,
,2,740,740,
,1,741,741,
,3,742,742,
,1,743,743,
,4,744,744,
,3,745,745,
,3,746,746,
,4,747,747,
,2,748,748,
,3,749,749,
,2,750,750,
,1,751,751,
,1,752,752,
,1,753,753,
,2,754,754,
,2,755,755,
,2,756,756,
,1,757,757,
,2,758,758,
,1,759,759,
,3,760,760,
,2,761,761,
,1,762,762,
,2,763,763,
,8,764,764,
,1,765,765,
,2,766,766,
,4,767,767,
,6,768,768,
,4,769,769,
,2,770,770,
,2,771,771,
,1,772,772,
,1,773,773,
,3,774,774,
,2,775,775,
,3,776,776,
,3,777,777,
,7,778,778,
,3,779,779,
,2,780,780,
,0,781,781,
,0,782,782,
,0,783,783,
,0,784,784,
,2,785,785,
,5,786,786,
,2,787,787,
,0,788,788,
,1,789,789,
,3,790,790,
,0,791,791,
,2,792,792,
,1,793,793,
,3,794,794,
