Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
83.001,534,83,83,701.541666666667,877.951821644587,6.14566275151211
84.001,522,84,84,704.645833333333,885.60471574493,6.19923301021451
85,540,85,85,715.122395833333,851.026103059261,5.95718272141483
86.001,555,86,86,703.869791666667,869.913878526026,6.08939714968218
87.001,550,87,87,707.361979166667,937.533185786641,6.56273230050649
88.001,584,88,88,706.973958333333,872.3358035192,6.1063506246344
89.001,599,89,89,713.5703125,930.617557811364,6.51432290467955
90.001,599,90,90,708.526041666667,864.291368839785,6.0500395818785
91.001,650,91,91,702.705729166667,881.999468356492,6.17399627849544
92.001,682,92,92,706.197916666667,859.385004482008,6.01569503137406
93.001,703,93,93,701.9296875,874.394506802612,6.12076154761828
94.001,740,94,94,709.690104166667,841.521817367813,5.89065272157469
95.001,765,95,95,705.033854166667,891.269613564523,6.23888729495166
96.001,742,96,96,704.2578125,917.582775112157,6.4230794257851
97.001,793,97,97,706.973958333333,852.496238060175,5.96747366642122
98.001,799,98,98,706.973958333333,880.395297488572,6.16276708242001
99,791,99,99,711.630208333333,843.209568906608,5.90246698234626
100,753,100,100,714.346354166667,873.192102262498,6.11234471583748
101.001,784,101,101,706.5859375,942.033606160189,6.59423524312132
102,762,102,102,707.361979166667,902.514151321983,6.31759905925388
103.001,739,103,103,707.75,857.424525106011,6.00197167574208
104,730,104,104,705.421875,923.255598984818,6.46278919289373
105.001,721,105,105,706.973958333333,879.799112535971,6.1585937877518
106.001,776,106,106,709.690104166667,920.749464070826,6.44524624849578
107.001,686,107,107,708.526041666667,902.501999396733,6.31751399577713
108,687,108,108,706.197916666667,856.382918459684,5.99468042921779
109,711,109,109,711.2421875,905.281788484315,6.3369725193902
110.001,634,110,110,710.466145833333,895.248968738206,6.26674278116744
111,687,111,111,713.182291666667,852.302220172345,5.96611554120641
112.001,645,112,112,709.690104166667,926.875897723349,6.48813128406344
113.001,658,113,113,712.40625,854.992117105753,5.98494481974027
114.001,661,114,114,706.197916666667,856.716781639095,5.99701747147366
115.001,630,115,115,711.2421875,902.659748569845,6.31861823998891
116.001,611,116,116,707.361979166667,925.901338398401,6.48130936878881
117.001,652,117,117,708.526041666667,890.828372761641,6.23579860933149
118.001,598,118,118,705.809895833333,880.523746343047,6.16366622440133
119.001,611,119,119,700.377604166667,820.950023336059,5.74665016335241
120.001,609,120,120,702.705729166667,861.275807854174,6.02893065497922
121.001,560,121,121,710.078125,872.631737416451,6.10842216191515
122.001,632,122,122,705.809895833333,895.204337053985,6.26643035937789
123.001,571,123,123,706.973958333333,887.728656792102,6.21410059754471
124.001,575,124,124,705.421875,880.226581199959,6.16158606839971
125,577,125,125,703.09375,877.279764516904,6.14095835161833
126.001,643,126,126,704.645833333333,849.288632072088,5.94502042450462
127,638,127,127,709.690104166667,919.660209120903,6.43762146384632
128.001,648,128,128,707.361979166667,866.480180876627,6.06536126613639
129,616,129,129,708.138020833333,824.218252993393,5.76952777095375
130.001,657,130,130,706.5859375,871.451682601307,6.10016177820915
131.001,633,131,131,709.302083333333,951.414150579747,6.65989905405823
132,614,132,132,706.197916666667,875.188077917945,6.12631654542561
133.001,587,133,133,704.645833333333,902.183628811434,6.31528540168004
134.001,615,134,134,706.197916666667,878.434473690687,6.14904131583481
135.001,623,135,135,702.705729166667,872.166761835669,6.10516733284968
136.001,582,136,136,707.361979166667,856.453406433366,5.99517384503356
137.001,639,137,137,707.75,889.951744838724,6.22966221387107
138.001,584,138,138,704.645833333333,856.801194797255,5.99760836358078
139.001,589,139,139,703.869791666667,839.481759926872,5.8763723194881
140.001,626,140,140,708.9140625,935.592229881515,6.5491456091706
141,617,141,141,711.2421875,907.461965800477,6.35223376060334
142,669,142,142,708.526041666667,878.677102806331,6.15073971964431
143,646,143,143,702.705729166667,857.409927686427,6.00186949380499
144,670,144,144,710.078125,883.515494127076,6.18460845888953
145.001,666,145,145,707.361979166667,907.838620475956,6.35487034333169
146,605,146,146,704.645833333333,886.827853801524,6.20779497661067
147.001,640,147,147,697.2734375,872.818964592718,6.10973275214903
148.001,662,148,148,701.153645833333,894.362664060277,6.26053864842194
149.001,630,149,149,703.869791666667,869.621692548003,6.08735184783602
150.001,622,150,150,708.526041666667,925.349016966564,6.47744311876595
151.001,629,151,151,700.377604166667,892.043317979005,6.24430322585304
152.001,641,152,152,711.2421875,844.857234115046,5.91400063880532
153.001,667,153,153,703.869791666667,921.805381361696,6.45263766953187
154,635,154,154,699.213541666667,885.909814380896,6.20136870066627
155.001,668,155,155,698.825520833333,815.241596958327,5.70669117870829
156,601,156,156,706.197916666667,884.403172296404,6.19082220607483
157,692,157,157,708.526041666667,909.524318781277,6.36667023146894
158,621,158,158,710.854166666667,866.318970632788,6.06423279442952
159,680,159,159,709.302083333333,908.393410749626,6.35875387524738
160,670,160,160,705.809895833333,865.211544222562,6.05648080955794
