Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,
541,6,541,541,696.109375,
542,3,542,542,696.109375,
543,5,543,543,696.109375,
544.001,3,544,544,696.109375,
545.001,6,545,545,696.109375,
546.001,6,546,546,696.109375,
547.001,4,547,547,695.721354166667,
548.001,2,548,548,695.721354166667,
549.001,4,549,549,696.109375,
550,5,550,550,696.109375,
551.001,3,551,551,696.109375,
552.001,3,552,552,696.109375,
553.001,4,553,553,696.109375,
554.001,5,554,554,696.109375,
555,3,555,555,696.109375,
556,5,556,556,696.109375,
557,6,557,557,696.109375,
558,3,558,558,696.109375,
559.001,5,559,559,696.109375,
560.001,6,560,560,697.661458333333,
561,1,561,561,696.109375,
562,3,562,562,696.109375,
562.999,3,563,563,696.109375,
564.001,6,564,564,696.109375,
565.001,3,565,565,695.721354166667,
566,3,566,566,695.333333333333,
567.001,1,567,567,695.721354166667,
568,5,568,568,696.109375,
569,5,569,569,696.109375,
570,5,570,570,696.109375,
571.001,6,571,571,696.109375,
572,3,572,572,696.109375,
573.001,4,573,573,696.109375,
574,3,574,574,696.109375,
575.001,3,575,575,696.109375,
576,6,576,576,696.109375,
577,4,577,577,696.109375,
578,1,578,578,696.109375,
579,3,579,579,696.109375,
580,5,580,580,695.721354166667,
581,5,581,581,696.109375,
582,3,582,582,696.109375,
583,4,583,583,696.109375,
584,0,584,584,696.109375,
585.001,0,585,585,696.109375,
586,5,586,586,696.109375,
587,1,587,587,696.885416666667,
588.001,1,588,588,696.109375,
589.001,3,589,589,696.109375,
590,5,590,590,696.109375,
591,3,591,591,696.109375,
592.001,2,592,592,696.109375,
593,4,593,593,696.109375,
594,4,594,594,696.109375,
595,1,595,595,695.721354166667,
596.001,4,596,596,695.721354166667,
597,3,597,597,696.109375,
598.001,2,598,598,696.109375,
598.999,5,599,599,696.109375,
,4,600,600,,
,4,601,601,,
,6,602,602,,
,1,603,603,,
,1,604,604,,
,3,605,605,,
,7,606,606,,
,3,607,607,,
,7,608,608,,
,6,609,609,,
,3,610,610,,
,5,611,611,,
,3,612,612,,
,0,613,613,,
,4,614,614,,
,6,615,615,,
,1,616,616,,
,3,617,617,,
,3,618,618,,
,4,619,619,,
,4,620,620,,
,4,621,621,,
,3,622,622,,
,4,623,623,,
,4,624,624,,
,5,625,625,,
,5,626,626,,
,1,627,627,,
,4,628,628,,
,3,629,629,,
,5,630,630,,
,2,631,631,,
,5,632,632,,
,8,633,633,,
,1,634,634,,
,3,635,635,,
,3,636,636,,
,0,637,637,,
,6,638,638,,
,3,639,639,,
,3,640,640,,
,5,641,641,,
,0,642,642,,
,3,643,643,,
,2,644,644,,
,2,645,645,,
,0,646,646,,
,4,647,647,,
,1,648,648,,
,2,649,649,,
,1,650,650,,
,3,651,651,,
,0,652,652,,
,5,653,653,,
,3,654,654,,
