Time (s),Events N,Channel n,Energy E / keV,Rate R / 1/s,Angle
346,0,346,346,47.88364275,45
347,0,347,347,22.03672641,45
348,0,348,348,33.32363616,45
349.001,0,349,349,33.00398358,45
350,1,350,350,37.74127358,45
351,0,351,351,37.05625881,45
352.001,0,352,352,27.75357358,45
353,0,353,353,35.53591604,45
354,0,354,354,34.0393972,45
355.001,0,355,355,36.5965071,45
356.001,0,356,356,32.04759388,45
357,0,357,357,22.22195309,45
358.001,0,358,358,28.82850598,45
359,0,359,359,25.01895186,45
360,0,360,360,30.06284638,45
361,1,361,361,21.07926035,45
362,0,362,362,29.97240541,45
363.001,0,363,363,27.99247003,45
364,0,364,364,25.55536815,45
365.001,0,365,365,26.00894708,45
366.001,0,366,366,23.03001502,45
367,0,367,367,31.10446512,45
368,0,368,368,26.62855824,45
369.001,0,369,369,24.97453596,45
370,0,370,370,32.0594382,45
371,0,371,371,25.96357829,45
372.001,0,372,372,27.02287216,45
373,0,373,373,29.97399756,45
374,1,374,374,43.01137221,45
375.001,0,375,375,35.52599398,45
375.999,2,376,376,30.04646084,45
377,0,377,377,13.31515814,45
378,0,378,378,25.53501122,45
379.001,0,379,379,21.09736735,45
380.001,0,380,380,35.04437319,45
381,0,381,381,36.96811869,45
382.001,0,382,382,27.02556889,45
383,1,383,383,27.75942571,45
384,0,384,384,28.02718918,45
385,0,385,385,29.98724542,45
386,0,386,386,19.98441881,45
387.001,0,387,387,29.99486788,45
388,1,388,388,38.8885,45
389.001,0,389,389,26.02439787,45
390.001,0,390,390,28.87998423,45
391.001,0,391,391,32.20430947,45
392.001,0,392,392,22.20778716,45
393.001,0,393,393,22.99909384,45
394,0,394,394,25.01342971,45
395,0,395,395,22.19211984,45
396.001,0,396,396,28.8800548,45
397,0,397,397,27.03732232,45
398.001,1,398,398,36.63169967,45
399,0,399,399,32.05337849,45
400,0,400,400,33.31501378,45
401.001,0,401,401,44.04215715,45
402.001,0,402,402,32.19996132,45
403,0,403,403,32.18013775,45
404.001,0,404,404,27.02256925,45
405,0,405,405,19.99486354,45
406.001,0,406,406,26.99209402,45
407.001,0,407,407,24.9826121,45
408.001,0,408,408,27.76038435,45
409,0,409,409,34.03375808,45
410.001,0,410,410,28.88234543,45
411,0,411,411,18.88022077,45
412,0,412,412,32.17295113,45
413,0,413,413,34.44068658,45
414,0,414,414,27.99342714,45
415,0,415,415,34.03022224,45
416,0,416,416,41.06540076,45
417,0,417,417,19.97940124,45
418,0,418,418,34.01619851,45
419,0,419,419,29.96748228,45
419.999,0,420,420,33.03907531,45
421.001,0,421,421,31.03986428,45
422,0,422,422,31.02812079,45
423,1,423,423,32.17966997,45
424.001,1,424,424,36.06704142,45
425.001,0,425,425,28.02650747,45
426,0,426,426,26.6450309,45
427.001,0,427,427,25.98115846,45
428.001,0,428,428,22.99378018,45
429,0,429,429,31.08414044,45
430,0,430,430,29.00894926,45
431.001,0,431,431,29.09847506,45
432,0,432,432,17.7611001,45
433.001,0,433,433,39.93732502,45
434.001,0,434,434,26.62877983,45
435,0,435,435,27.01466897,45
436.001,0,436,436,33.28637366,45
437,0,437,437,36.09772738,45
438.001,0,438,438,26.65305584,45
439,0,439,439,29.976555,45
440,0,440,440,27.7589233,45
441,0,441,441,15.55404854,45
442,0,442,442,24.0114895,45
443,0,443,443,25.01884419,45
444,0,444,444,30.00367245,45
445,0,445,445,25.01180307,45
446.001,0,446,446,33.28240386,45
447.001,0,447,447,30.02189497,45
448,0,448,448,26.62385255,45
449,0,449,449,26.07008944,45
449.999,0,450,450,31.05118922,45
451,0,451,451,34.02708556,45
452.001,0,452,452,15.53913414,45
453,0,453,453,27.04938677,45
454,0,454,454,38.88824507,45
454.999,0,455,455,24.4399665,45
456,0,456,456,23.01128013,45
457.001,0,457,457,24.97917736,45
458,0,458,458,21.08302384,45
459,0,459,459,32.06462304,45
460.001,0,460,460,26.62513737,45
461,0,461,461,27.99569986,45
462,0,462,462,27.00470152,45
463,0,463,463,34.41174946,45
464,0,464,464,34.06178467,45
465.001,0,465,465,22.21072694,45
466.001,0,466,466,28.02020537,45
467,0,467,467,28.87777736,45
468,0,468,468,42.01607115,45
469,0,469,469,29.97496191,45
470.001,0,470,470,19.97005158,45
471,0,471,471,33.03804992,45
472,0,472,472,27.03035238,45
473.001,0,473,473,33.3170006,45
474,0,474,474,30.03911694,45
475,0,475,475,47.94164543,45
476.001,0,476,476,22.02598185,45
477,0,477,477,22.19106843,45
478.001,0,478,478,23.06674825,45
479.001,0,479,479,27.70164749,45
480,0,480,480,19.98965424,45
481,0,481,481,31.01628355,45
482.001,0,482,482,32.01026569,45
483,0,483,483,27.02431107,45
484.001,1,484,484,41.04544752,45
485,0,485,485,32.03631316,45
486,0,486,486,18.86674143,45
487,0,487,487,30.02227653,45
488,0,488,488,42.01990903,45
489.001,0,489,489,31.10584385,45
490.001,0,490,490,11.09765951,45
491.001,1,491,491,26.02221517,45
492.001,0,492,492,35.97158245,45
493,0,493,493,26.02661742,45
494,0,494,494,34.43469177,45
495.001,0,495,495,40.97198745,45
496.001,0,496,496,36.01512996,45
497,0,497,497,30.9900429,45
498.001,0,498,498,27.77318903,45
499,0,499,499,25.01190817,45
500.001,0,500,500,29.93389266,45
501.001,0,501,501,29.00952092,45
501.999,0,502,502,28.09042589,45
503.001,0,503,503,36.59597138,45
504.001,1,504,504,29.94650888,45
505,0,505,505,29.00435355,45
506,0,506,506,30.04021183,45
507.001,0,507,507,31.10308306,45
508,0,508,508,22.96458173,45
509.001,0,509,509,33.99922142,45
510.001,0,510,510,28.88842988,45
511,15,511,511,26.01479201,45
512,,,,41.08825346,45
513,,,,28.84282369,45
514.001,,,,37.05346073,45
515.001,,,,33.32457638,45
516.001,,,,25.50531009,45
517.001,,,,31.98183751,45
518,,,,27.02190125,45
519.001,,,,21.0020393,45
520,,,,29.01433598,45
521,,,,47.75351899,45
522.001,,,,32.20664136,45
523.001,,,,16.99875399,45
524.001,,,,33.97820977,45
525.001,,,,18.85892415,45
526,,,,22.00906113,45
527.001,,,,27.97232698,45
528,,,,21.03481472,45
529.001,,,,26.6462438,45
529.999,,,,23.98062605,45
531.001,,,,41.97154329,45
532.001,,,,26.02470525,45
533,,,,38.84761114,45
534,,,,33.02228674,45
535,,,,29.01433889,45
536,,,,29.02385471,45
537,,,,29.95837284,45
538.001,,,,29.01181071,45
539,,,,26.02330647,45
540,,,,29.96776135,45
541,,,,28.02658041,45
542,,,,26.62074293,45
543.001,,,,29.03551043,45
544,,,,32.1796914,45
545.001,,,,26.04264222,45
545.999,,,,26.66184976,45
547,,,,35.99198099,45
