Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
,71,434,434,,,
,77,435,435,,,
,68,436,436,,,
,57,437,437,,,
,58,438,438,,,
,67,439,439,,,
,85,440,440,,,
,73,441,441,,,
,77,442,442,,,
,67,443,443,,,
,87,444,444,,,
,81,445,445,,,
,74,446,446,,,
,66,447,447,,,
,65,448,448,,,
,66,449,449,,,
,61,450,450,,,
,89,451,451,,,
,79,452,452,,,
,79,453,453,,,
,85,454,454,,,
,71,455,455,,,
,70,456,456,,,
,71,457,457,,,
,62,458,458,,,
,76,459,459,,,
,70,460,460,,,
,74,461,461,,,
,83,462,462,,,
,69,463,463,,,
,66,464,464,,,
,84,465,465,,,
,74,466,466,,,
,63,467,467,,,
,63,468,468,,,
,57,469,469,,,
,58,470,470,,,
,77,471,471,,,
,70,472,472,,,
,59,473,473,,,
,51,474,474,,,
,47,475,475,,,
,59,476,476,,,
,58,477,477,,,
,58,478,478,,,
,63,479,479,,,
,59,480,480,,,
,60,481,481,,,
,66,482,482,,,
,54,483,483,,,
,55,484,484,,,
,44,485,485,,,
,49,486,486,,,
,61,487,487,,,
,42,488,488,,,
,59,489,489,,,
,67,490,490,,,
,46,491,491,,,
,60,492,492,,,
,50,493,493,,,
,54,494,494,,,
,42,495,495,,,
,46,496,496,,,
,46,497,497,,,
,34,498,498,,,
,40,499,499,,,
,51,500,500,,,
,44,501,501,,,
,44,502,502,,,
,45,503,503,,,
,56,504,504,,,
,35,505,505,,,
,44,506,506,,,
,35,507,507,,,
,36,508,508,,,
,42,509,509,,,
,39,510,510,,,
,39,511,511,,,
,44,512,512,,,
,41,513,513,,,
,37,514,514,,,
,44,515,515,,,
,44,516,516,,,
,44,517,517,,,
,46,518,518,,,
,30,519,519,,,
,41,520,520,,,
,48,521,521,,,
,32,522,522,,,
,40,523,523,,,
,39,524,524,,,
,48,525,525,,,
,32,526,526,,,
,33,527,527,,,
,25,528,528,,,
,31,529,529,,,
,35,530,530,,,
,26,531,531,,,
,33,532,532,,,
,26,533,533,,,
,27,534,534,,,
,27,535,535,,,
,35,536,536,,,
,31,537,537,,,
,27,538,538,,,
,38,539,539,,,
,37,540,540,,,
,34,541,541,,,
,25,542,542,,,
,40,543,543,,,
,36,544,544,,,
,29,545,545,,,
,28,546,546,,,
,30,547,547,,,
,27,548,548,,,
,28,549,549,,,
,39,550,550,,,
,34,551,551,,,
,28,552,552,,,
,28,553,553,,,
,25,554,554,,,
,25,555,555,,,
,27,556,556,,,
,30,557,557,,,
,31,558,558,,,
,31,559,559,,,
,24,560,560,,,
,32,561,561,,,
,29,562,562,,,
,33,563,563,,,
,31,564,564,,,
,27,565,565,,,
,26,566,566,,,
,38,567,567,,,
,22,568,568,,,
,26,569,569,,,
,22,570,570,,,
,28,571,571,,,
,31,572,572,,,
,22,573,573,,,
,17,574,574,,,
,26,575,575,,,
,30,576,576,,,
